time,acc_x,acc_y,acc_z,yaw,pitch,roll,Unnamed: 7,velocity_x,velocity_y,velocity_z,velocity_magnitude,momentum,normal_force,energy
0.953556,-0.0465,0.0444,0.0652,0.0831,-0.058,-0.0086,,0.0061359445157657,-0.0098349263941441,-0.0056314851227477,0.01288756055142,0.429516116103599,683.445,0.001317743528519431
0.977686,-0.0465,0.0444,0.0652,0.0641,-0.0819,-0.011,,0.0049517130292792,-0.0109169888896396,-0.0067913353727477,0.013777603002191,0.34661991204954395,683.445,0.0008581811673516686
0.991244,-0.0465,0.0444,0.0652,0.0623,-0.0886,-0.022,,0.0037674815427927,-0.0119990513851351,-0.0079511856227477,0.0148792642333479,0.263723707995489,683.445,0.0004967871011349283
1.017956,-0.0465,0.0444,0.0652,0.0623,-0.0886,-0.022,,0.0029054306813062,-0.0122823381328828,-0.0081526210765765,0.0150253980936474,0.203380147691434,683.445,0.00029545346053563935
1.01913,0.091,-0.0321,-0.0468,0.0623,-0.0886,-0.022,,0.0023655604448198,-0.0117668491328828,-0.0073956417342342,0.0140978768399808,0.165589231137386,693.0699999999999,0.00019585566763336175
1.019872,0.091,-0.0321,-0.0468,0.0727,-0.0959,-0.033,,0.0018256902083333,-0.0112513601328828,-0.0066386623918919,0.0131908334812531,0.12779831458333102,693.0699999999999,0.0001166600657881431
1.031367,0.091,-0.0321,-0.0468,0.0727,-0.1057,-0.0458,,0.0012858199718468,-0.0107358711328828,-0.0058816830495495,0.0123087959393771,0.090007398029276,693.0699999999999,5.786665500000369e-05
1.05752,0.091,-0.0321,-0.0468,0.0305,-0.0996,-0.0421,,0.0007459497353603,-0.0102203821328828,-0.0051247037072072,0.0114575407499383,0.052216481475221,693.0699999999999,1.9475435268943554e-05
1.07178,0.091,-0.0321,-0.0468,0.0305,-0.0996,-0.0421,,0.0002060794988738,-0.0097048931328828,-0.0043677243648648,0.010644455627601,0.014425564921166001,693.0699999999999,1.4864065949626788e-06
1.072741,0.0571,0.0888,-0.2332,0.0305,-0.0996,-0.0421,,0.0004644045045044,-0.0096334909403152,-0.0042609113288288,0.0105439643679729,0.032508315315308,690.697,7.548504033139204e-06
1.074071,0.0571,0.0888,-0.2332,-0.0263,-0.0696,-0.0305,,0.0015209247522522,-0.0100061755551801,-0.0048042645990991,0.0112034690913687,0.10646473265765401,690.697,8.096242357046957e-05
1.097884,0.0571,0.0888,-0.2332,-0.066,-0.0208,-0.0153,,0.0025774449999999,-0.010378860170045,-0.0053476178693693,0.0119566290414217,0.180421149999993,690.697,0.00023251279548085698
1.111208,0.0571,0.0888,-0.2332,-0.047,0.0043,-0.0043,,0.0036339652477477,-0.0107515447849098,-0.0058909711396396,0.0127869057888071,0.25437756734233896,690.697,0.00046219961976433
1.137844,0.0571,0.0888,-0.2332,-0.047,0.0043,-0.0043,,0.0044936940867117,-0.0104223980923423,-0.0075163869054054,0.0136130724177886,0.314558586069819,690.697,0.0007067650290731694
1.138611,0.0571,0.0888,-0.2332,-0.0147,0.0244,0.0098,,0.0051566315168918,-0.0093914200923423,-0.0102238651666666,0.0148093564646825,0.36096420618242603,690.697,0.0009306797010350641
