
time,ax,ay,az,wx,wy,wz,
0.446408,0.3035,0.0678,0.0744,-0.0629,0.0819,-0.0031,
0.448552,0.3035,0.0678,0.0744,-0.0629,0.0819,-0.0031,
0.449134,0.3323,-0.0090,0.0476,-0.0629,0.0819,-0.0031,
0.449836,0.3323,-0.0090,0.0476,-0.0629,0.0819,-0.0031,
0.454043,0.3323,-0.0090,0.0476,-0.0629,0.0819,-0.0031,
0.454860,0.3323,-0.0090,0.0476,-0.0629,0.0819,-0.0031,
0.456833,0.3323,-0.0090,0.0476,-0.0629,0.0819,-0.0031,
0.457430,0.2692,-0.0403,0.1068,-0.0629,0.0819,-0.0031,
0.458167,0.2692,-0.0403,0.1068,-0.0629,0.0819,-0.0031,
0.461046,0.2692,-0.0403,0.1068,-0.0629,0.0819,-0.0031,
0.461782,0.2692,-0.0403,0.1068,-0.0776,0.0874,-0.0379,
0.462921,0.2692,-0.0403,0.1068,-0.0776,0.0874,-0.0379,
0.464833,0.2692,-0.0403,0.1068,-0.0776,0.0874,-0.0379,
0.465348,0.1797,0.0099,0.1342,-0.0776,0.0874,-0.0379,
0.465999,0.1797,0.0099,0.1342,-0.0776,0.0874,-0.0379,
0.470617,0.1797,0.0099,0.1342,-0.0776,0.0874,-0.0379,
0.471390,0.1797,0.0099,0.1342,-0.0776,0.0874,-0.0379,
0.473136,0.1797,0.0099,0.1342,-0.0776,0.0874,-0.0379,
0.473775,0.1976,-0.0118,0.1284,-0.0776,0.0874,-0.0379,
0.474608,0.1976,-0.0118,0.1284,-0.0776,0.0874,-0.0379,
0.478931,0.1976,-0.0118,0.1284,-0.0776,0.0874,-0.0379,
0.479648,0.1976,-0.0118,0.1284,-0.0776,0.0874,-0.0379,
0.481647,0.1976,-0.0118,0.1284,-0.0776,0.0874,-0.0379,
0.482269,0.2678,-0.0622,0.0579,-0.0776,0.0874,-0.0379,
0.482852,0.2678,-0.0622,0.0579,-0.0990,0.1118,-0.0574,
0.483364,0.2678,-0.0622,0.0579,-0.0990,0.1118,-0.0574,
0.484962,0.2678,-0.0622,0.0579,-0.0990,0.1118,-0.0574,
0.486277,0.2678,-0.0622,0.0579,-0.0990,0.1118,-0.0574,
0.489254,0.2678,-0.0622,0.0579,-0.0990,0.1118,-0.0574,
0.489832,0.1979,-0.0765,0.1266,-0.0990,0.1118,-0.0574,
0.490448,0.1979,-0.0765,0.1266,-0.0990,0.1118,-0.0574,
0.492670,0.1979,-0.0765,0.1266,-0.0990,0.1118,-0.0574,
0.494317,0.1979,-0.0765,0.1266,-0.0990,0.1118,-0.0574,
0.497358,0.1979,-0.0765,0.1266,-0.0990,0.1118,-0.0574,
0.498104,0.0005,-0.0096,0.2640,-0.0990,0.1118,-0.0574,
0.498754,0.0005,-0.0096,0.2640,-0.0990,0.1118,-0.0574,
0.501636,0.0005,-0.0096,0.2640,-0.0990,0.1118,-0.0574,
0.502227,0.0005,-0.0096,0.2640,-0.1045,0.1026,-0.0702,
0.502862,0.0005,-0.0096,0.2640,-0.1045,0.1026,-0.0702,
0.505490,0.0005,-0.0096,0.2640,-0.1045,0.1026,-0.0702,
0.506273,-0.3107,0.1390,0.4121,-0.1045,0.1026,-0.0702,
0.506980,-0.3107,0.1390,0.4121,-0.1045,0.1026,-0.0702,
0.509467,-0.3107,0.1390,0.4121,-0.1045,0.1026,-0.0702,
0.512207,-0.3107,0.1390,0.4121,-0.1045,0.1026,-0.0702,
0.513537,-0.3107,0.1390,0.4121,-0.1045,0.1026,-0.0702,
0.514125,-0.5864,0.3521,0.4887,-0.1045,0.1026,-0.0702,
0.514726,-0.5864,0.3521,0.4887,-0.1045,0.1026,-0.0702,
0.517504,-0.5864,0.3521,0.4887,-0.1045,0.1026,-0.0702,
0.519142,-0.5864,0.3521,0.4887,-0.1045,0.1026,-0.0702,
0.522100,-0.5864,0.3521,0.4887,-0.1045,0.1026,-0.0702,
0.522663,-0.6855,0.4574,0.4610,-0.1045,0.1026,-0.0702,
0.523187,-0.6855,0.4574,0.4610,-0.0611,0.0874,0.0177,
0.523606,-0.6855,0.4574,0.4610,-0.0611,0.0874,0.0177,
0.525616,-0.6855,0.4574,0.4610,-0.0611,0.0874,0.0177,
0.526716,-0.6855,0.4574,0.4610,-0.0611,0.0874,0.0177,
0.529977,-0.6855,0.4574,0.4610,-0.0611,0.0874,0.0177,
0.530696,-0.6617,0.4884,0.3610,-0.0611,0.0874,0.0177,
0.531317,-0.6617,0.4884,0.3610,-0.0611,0.0874,0.0177,
0.533463,-0.6617,0.4884,0.3610,-0.0611,0.0874,0.0177,
0.534757,-0.6617,0.4884,0.3610,-0.0611,0.0874,0.0177,
0.538328,-0.6617,0.4884,0.3610,-0.0611,0.0874,0.0177,
0.538976,-0.5894,0.4790,0.3244,-0.0611,0.0874,0.0177,
0.539482,-0.5894,0.4790,0.3244,-0.0611,0.0874,0.0177,
0.542301,-0.5894,0.4790,0.3244,-0.0611,0.0874,0.0177,
0.542682,-0.5894,0.4790,0.3244,-0.0544,0.1014,0.0721,
0.543133,-0.5894,0.4790,0.3244,-0.0544,0.1014,0.0721,
0.546967,-0.5894,0.4790,0.3244,-0.0544,0.1014,0.0721,
0.547713,-0.6062,0.4404,0.2249,-0.0544,0.1014,0.0721,
0.548363,-0.6062,0.4404,0.2249,-0.0544,0.1014,0.0721,
0.549904,-0.6062,0.4404,0.2249,-0.0544,0.1014,0.0721,
0.551601,-0.6062,0.4404,0.2249,-0.0544,0.1014,0.0721,
0.554091,-0.6062,0.4404,0.2249,-0.0544,0.1014,0.0721,
